# z_relative(A)  P(0)  FreeEnergy(kJ/mol)  empty_counts  total_counts
8.882753 0.526022 1.592512 1991726.000000 3786393.000000
8.982753 0.532163 1.563741 2014977.000000 3786393.000000
9.082753 0.537211 1.540335 2034092.000000 3786393.000000
9.182753 0.540908 1.523336 2048089.000000 3786393.000000
9.282753 0.543492 1.511518 2057876.000000 3786393.000000
9.382753 0.545843 1.500820 2066776.000000 3786393.000000
9.482753 0.546570 1.497520 2069529.000000 3786393.000000
9.582753 0.546417 1.498213 2068951.000000 3786393.000000
9.682753 0.544748 1.505799 2062629.000000 3786393.000000
9.782753 0.542428 1.516377 2053846.000000 3786393.000000
9.882753 0.540954 1.523124 2048264.000000 3786393.000000
9.982753 0.539411 1.530204 2042422.000000 3786393.000000
10.082753 0.538326 1.535198 2038312.000000 3786393.000000
10.182753 0.536416 1.544005 2031083.000000 3786393.000000
10.282753 0.533947 1.555442 2021734.000000 3786393.000000
10.382753 0.531916 1.564889 2014044.000000 3786393.000000
10.482753 0.530207 1.572867 2007573.000000 3786393.000000
10.582753 0.528156 1.582475 1999807.000000 3786393.000000
10.682753 0.527818 1.584062 1998527.000000 3786393.000000
10.782753 0.528091 1.582782 1999559.000000 3786393.000000
10.882753 0.527756 1.584352 1998293.000000 3786393.000000
10.982753 0.527372 1.586160 1996836.000000 3786393.000000
11.082753 0.527835 1.583985 1998589.000000 3786393.000000
11.182753 0.528300 1.581798 2000353.000000 3786393.000000
11.282753 0.529356 1.576852 2004348.000000 3786393.000000
11.382753 0.530069 1.573515 2007048.000000 3786393.000000
11.482753 0.531314 1.567696 2011765.000000 3786393.000000
11.582753 0.533060 1.559564 2018375.000000 3786393.000000
11.682753 0.536330 1.544402 2030758.000000 3786393.000000
11.782753 0.538904 1.532536 2040502.000000 3786393.000000
11.882753 0.541126 1.522335 2048916.000000 3786393.000000
11.982753 0.543037 1.513597 2056151.000000 3786393.000000
12.082753 0.543845 1.509909 2059212.000000 3786393.000000
12.182753 0.543584 1.511100 2058223.000000 3786393.000000
12.282753 0.543810 1.510068 2059080.000000 3786393.000000
12.382753 0.543499 1.511488 2057901.000000 3786393.000000
12.482753 0.544099 1.508754 2060172.000000 3786393.000000
12.582753 0.543569 1.511169 2058166.000000 3786393.000000
12.682753 0.542594 1.515619 2054474.000000 3786393.000000
12.782753 0.541802 1.519240 2051476.000000 3786393.000000
12.882753 0.542092 1.517914 2052573.000000 3786393.000000
12.982753 0.542385 1.516573 2053684.000000 3786393.000000
13.082753 0.542583 1.515669 2054433.000000 3786393.000000
13.182753 0.543237 1.512682 2056910.000000 3786393.000000
13.282753 0.544401 1.507376 2061317.000000 3786393.000000
13.382753 0.545143 1.504000 2064126.000000 3786393.000000
13.482753 0.545654 1.501676 2066062.000000 3786393.000000
13.582753 0.546192 1.499234 2068099.000000 3786393.000000
13.682753 0.547142 1.494927 2071695.000000 3786393.000000
13.782753 0.547844 1.491748 2074353.000000 3786393.000000
13.882753 0.549065 1.486230 2078976.000000 3786393.000000
13.982753 0.551551 1.475032 2088388.000000 3786393.000000
14.082753 0.554626 1.461248 2100033.000000 3786393.000000
14.182753 0.557351 1.449100 2110349.000000 3786393.000000
14.282753 0.561077 1.432583 2124457.000000 3786393.000000
14.382753 0.565274 1.414110 2140348.000000 3786393.000000
14.482753 0.569798 1.394345 2157481.000000 3786393.000000
14.582753 0.574988 1.371868 2177132.000000 3786393.000000
14.682753 0.581004 1.346066 2199911.000000 3786393.000000
14.782753 0.586886 1.321097 2222181.000000 3786393.000000
14.882753 0.592161 1.298914 2242156.000000 3786393.000000
14.982753 0.597944 1.274823 2264052.000000 3786393.000000
15.082753 0.604036 1.249696 2287117.000000 3786393.000000
15.182753 0.610587 1.222954 2311923.000000 3786393.000000
15.282753 0.618743 1.190062 2342803.000000 3786393.000000
15.382753 0.628039 1.153095 2378002.000000 3786393.000000
15.482753 0.638921 1.110508 2419207.000000 3786393.000000
15.582753 0.650385 1.066424 2462614.000000 3786393.000000
15.682753 0.662911 1.019134 2510043.000000 3786393.000000
15.782753 0.676201 0.969930 2560362.000000 3786393.000000
15.882753 0.690342 0.918621 2613908.000000 3786393.000000
15.982753 0.706006 0.863003 2673216.000000 3786393.000000
